State,Confirmed,Recovered,Deaths,Active,Last_Updated_Time,Migrated_Other,State_code,Delta_Confirmed,Delta_Recovered,Delta_Deaths,
Total,28451635,26384445,338082,1717746,3/6/2021 14:32,11362,TT,10556,1408,68,
Andaman and Nicobar Islands,7043,6781,119,143,2/6/2021 21:49,0,AN,0,0,0,
Andhra Pradesh,1717156,1562229,11132,143795,2/6/2021 19:23,0,AP,0,0,0,
Arunachal Pradesh,28018,24083,118,3817,3/6/2021 0:31,0,AR,0,0,0,
Assam,420076,364191,3477,51061,2/6/2021 21:49,1347,AS,0,0,0,
Bihar,709093,691234,5268,12590,2/6/2021 21:49,1,BR,0,0,0,
Chandigarh,60288,58276,761,1251,2/6/2021 20:43,0,CH,0,0,0,
Chhattisgarh,975141,930389,13117,31635,2/6/2021 21:49,0,CT,0,0,0,
Dadra and Nagar Haveli and Daman and Diu,10328,10054,4,237,2/6/2021 21:49,33,DN,0,0,0,
Delhi,1427439,1393673,24402,9364,2/6/2021 17:51,0,DL,0,0,0,
Goa,157275,143742,2693,10840,2/6/2021 19:23,0,GA,0,0,0,
Gujarat,812063,775958,9873,26232,2/6/2021 20:43,0,GJ,0,0,0,
Haryana,759039,735910,8461,14668,2/6/2021 21:49,0,HR,0,0,0,
Himachal Pradesh,192142,176949,3194,11975,2/6/2021 21:49,24,HP,0,0,0,
Jammu and Kashmir,294078,258536,3963,31579,2/6/2021 20:43,0,JK,0,0,0,
Jharkhand,338915,326597,5011,7307,3/6/2021 0:31,0,JH,0,0,0,
Karnataka,2635122,2312060,30017,293024,3/6/2021 0:31,21,KA,0,0,0,
Kerala,2566001,2363868,9223,192513,2/6/2021 20:43,397,KL,0,0,0,
Ladakh,18841,17119,191,1531,3/6/2021 11:24,0,LA,0,0,0,
Lakshadweep,8335,6804,35,1467,2/6/2021 20:43,29,LD,0,0,0,
Madhya Pradesh,782099,756806,8157,17136,2/6/2021 21:49,0,MP,0,0,0,
Maharashtra,5776184,5460589,96751,216016,2/6/2021 20:43,2828,MH,0,0,0,
Manipur,52278,42404,839,9035,2/6/2021 19:23,0,MN,0,0,0,
Meghalaya,36597,29578,616,6403,2/6/2021 16:34,0,ML,0,0,0,
Mizoram,12859,9494,45,3320,3/6/2021 14:32,0,MZ,225,0,1,
Nagaland,22072,16205,399,4832,2/6/2021 21:49,636,NL,0,0,0,
Odisha,790970,702621,2926,85423,3/6/2021 12:58,0,OR,8839,0,42,
Puducherry,107114,95516,1583,10015,3/6/2021 14:32,0,PY,815,950,16,
Punjab,571970,526089,14748,31133,3/6/2021 0:31,0,PB,0,0,0,
Rajasthan,942236,901071,8515,32650,2/6/2021 19:23,0,RJ,0,0,0,
Sikkim,15876,11299,260,4103,2/6/2021 21:49,214,SK,0,0,0,
State Unassigned,0,0,0,0,19/07/2020 09:40:01,0,UN,0,0,0,
Tamil Nadu,2148346,1834439,25205,288702,2/6/2021 20:43,0,TN,0,0,0,
Telangana,583228,546536,3313,33379,2/6/2021 21:49,0,TG,0,0,0,
Tripura,53219,46170,531,6495,3/6/2021 12:58,23,TR,677,458,9,
Uttar Pradesh,1693992,1644511,20787,28694,2/6/2021 20:43,0,UP,0,0,0,
Uttarakhand,331478,293768,6535,25366,2/6/2021 20:43,5809,UT,0,0,0,
West Bengal,1394724,1308896,15813,70015,2/6/2021 20:43,0,WB,0,0,0,
